table_name,column_name,data_type,nullable,primary_key,max,min,avg,stddev,varience
TB_ZY_SFMXB,SFJSSJ,3,0,0,7.0,7.0,7.0,0.0,0.0
TB_ZY_SFMXB,KDKSBM,1,0,0,3.0,1.0,2.55,0.5,0.25
TB_ZY_SFMXB,KDKSMC,1,0,0,25.0,1.0,13.64,5.44,29.59
TB_ZY_SFMXB,KDYSBH,1,0,0,6.0,1.0,4.0,0.06,0.0
TB_ZY_SFMXB,KDYSXM,1,0,0,7.0,1.0,5.58,0.82,0.67
TB_ZY_SFMXB,SFXMLBBM,1,0,0,2.0,2.0,2.0,0.0,0.0
TB_ZY_SFMXB,MXXMBM,1,0,0,4.0,4.0,4.0,0.0,0.0
TB_ZY_SFMXB,MXXMMC,1,0,0,8.0,3.0,6.0,0.25,0.06
TB_ZY_SFMXB,MXXMDJ,2,0,0,56100.0,0.0,35.93,201.01,40405.21
TB_ZY_SFMXB,MXXMSL,2,0,0,2250.0,-2250.0,4.13,25.74,662.58
TB_ZY_SFMXB,MXXMYSJE,2,0,0,56100.0,-32832.0,50.46,260.45,67836.11
TB_ZY_SFMXB,MXXMSSJE,2,0,0,56100.0,-32832.0,50.46,260.45,67836.11
