,data_type,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience,table_name,column_name
10,1,1,0,10.0,0.0,5.0,1.21,1.45,TB_LIS_JYBG,BGRXM
106,1,1,0,10.0,4.0,5.0,0.66,0.44,TB_ZY_RYDJB,XM
1,1,0,0,10.0,10.0,10.0,0.0,0.0,TB_LIS_JYBG,BGRQ
23,3,1,0,10.0,10.0,10.0,0.0,0.0,TB_LIS_JYJGZB,BGRQ
20,1,1,0,10.0,0.0,4.0,0.81,0.66,TB_LIS_JYBG,BBMC
18,1,1,0,10.0,0.0,5.0,1.21,1.45,TB_LIS_JYBG,JYYSQM
135,1,1,0,10.0,4.0,5.0,0.61,0.38,TB_ZY_ZYYZMX,XM
16,1,1,0,10.0,0.0,5.0,1.21,1.45,TB_LIS_JYBG,JYJSQM
72,1,1,0,10.0,10.0,10.0,0.0,0.0,TB_MZ_GHMXB,GHSXH
93,2,0,0,10.0,1.0,1.0,0.4,0.16,TB_MZ_SFMXB,MXXMSL
90,1,1,0,10.0,10.0,10.0,0.0,0.0,TB_MZ_SFMXB,MXXMBM
14,3,0,0,10.0,10.0,10.0,0.0,0.0,TB_LIS_JYBG,JYRQ
29,1,1,0,11.0,0.0,4.0,3.37,11.37,TB_LIS_JYJGZB,CKZ
70,2,0,0,11.0,-11.0,2.0,1.83,3.33,TB_MZ_GHMXB,GHF
77,1,0,0,12.0,1.0,2.0,3.07,9.44,TB_MZ_JSB,JSFPH
37,1,0,0,12.0,12.0,12.0,0.0,0.0,TB_MZ_CFMX,CFH
81,1,0,0,12.0,8.0,9.0,1.94,3.76,TB_MZ_JZJL,JZLSH
41,1,0,0,12.0,12.0,12.0,0.0,0.0,TB_MZ_CFZB,CFH
117,1,1,0,12.0,12.0,12.0,0.0,0.0,TB_ZY_ZYJSB,YLJGDM
104,1,1,0,12.0,12.0,12.0,0.0,0.0,TB_ZY_RYDJB,YLJGDM
123,1,1,0,12.0,12.0,12.0,0.0,0.0,TB_ZY_ZYJZJL,YLJGDM
96,1,1,0,12.0,12.0,12.0,0.0,0.0,TB_ZY_CYDJB,YLJGDM
132,1,1,0,12.0,12.0,12.0,0.0,0.0,TB_ZY_ZYYZMX,YLJGDM
7,1,1,0,13.0,0.0,12.0,1.99,3.96,TB_LIS_JYBG,SQRGH
19,1,1,0,13.0,0.0,1.0,3.9,15.2,TB_LIS_JYBG,BBDM
8,1,1,0,14.0,0.0,5.0,2.09,4.38,TB_LIS_JYBG,SQRXM
133,1,1,0,15.0,14.0,14.0,0.43,0.19,TB_ZY_ZYYZMX,YZMXID
27,2,1,0,16.0,1.0,4.0,2.46,6.07,TB_LIS_JYJGZB,JYDLJG
149,1,1,0,16.0,0.0,11.0,7.37,54.35,TB_ZY_ZYYZMX,YYPD
31,1,0,0,17.0,5.0,6.0,2.03,4.12,TB_LIS_JYJGZB,SBBM
35,1,1,0,35.0,4.0,13.0,5.58,31.16,TB_LIS_YMJG,YMMC
91,1,1,0,38.0,4.0,17.0,6.26,39.23,TB_MZ_SFMXB,MXXMMC
63,1,0,0,40.0,1.0,5.0,0.7,0.49,TB_MZ_GHMXB,XM
51,1,1,0,40.0,1.0,5.0,0.69,0.47,TB_MZ_CFZB,HZXM
82,1,1,0,40.0,1.0,5.0,0.7,0.49,TB_MZ_JZJL,HZXM
103,1,1,0,46.0,4.0,17.0,7.36,54.18,TB_ZY_CYDJB,CYZDMC
115,1,1,0,46.0,2.0,15.0,7.49,56.16,TB_ZY_RYDJB,RYZDMC
85,1,1,0,73.0,2.0,11.0,5.88,34.52,TB_MZ_JZJL,JZZDMC
86,1,1,0,120.0,0.0,13.0,6.72,45.15,TB_MZ_JZJL,ZS
147,1,0,0,138.0,0.0,20.0,12.57,157.89,TB_ZY_ZYYZMX,YZSM
92,2,0,0,520.0,0.0,20.0,32.78,1074.45,TB_MZ_SFMXB,MXXMDJ
94,2,0,0,520.0,0.0,22.0,34.11,1163.65,TB_MZ_SFMXB,MXXMYSJE
95,2,0,0,520.0,0.0,22.0,34.11,1163.65,TB_MZ_SFMXB,MXXMSSJE
152,2,0,0,900.0,0.0,12.0,42.5,1806.42,TB_ZY_ZYYZMX,XMDJ
80,2,1,0,6000.0,-912.0,40.0,78.98,6237.65,TB_MZ_JSB,SSJE
79,2,1,0,6000.0,-912.0,40.0,78.98,6237.65,TB_MZ_JSB,FYJSZJE
22,1,0,0,8001.0,1.0,129.0,874.87,765391.87,TB_LIS_JYJGZB,BGDH
21,1,0,0,8001.0,1.0,129.0,874.87,765391.87,TB_LIS_JYJGZB,JYZBLSH
0,1,0,0,8001.0,1.0,112.0,688.38,473869.23,TB_LIS_JYBG,BGDH
122,2,1,0,11058.0,0.0,2378.0,2080.2,4327233.22,TB_ZY_ZYJSB,YBZFJE
121,2,1,0,25534.0,0.0,2404.0,1916.52,3673050.54,TB_ZY_ZYJSB,YBFWWZF
120,2,0,0,25534.0,0.0,4791.0,3266.45,10669723.46,TB_ZY_ZYJSB,ZFY
54,2,0,0,72640.0,-72000.0,87.0,251.11,63056.39,TB_MZ_CFZB,CFJE
25,1,1,0,99999.0,1001.0,1509.0,6010.42,36125097.13,TB_LIS_JYJGZB,JCZBDM
